term_id,lang,term,reltype,related_term_id,related_lang,related_term,position,group_tag,parent_tag,parent_position
Raq2P1UKW2apYIIuEy9TGA,English,swap,inherited_from,tKyvB-EmWPiqwa1SGZw8Tg,Middle English,swappen,0,,,
Raq2P1UKW2apYIIuEy9TGA,English,swap,inherited_from,Oz54hyn7W8igE0n-vHnHvg,Old English,*swappian,0,,,
Raq2P1UKW2apYIIuEy9TGA,English,swap,inherited_from,E53mntMmVICm0odRiKxCDg,Old English,swāpan,0,,,
Raq2P1UKW2apYIIuEy9TGA,English,swap,inherited_from,DddSAuzGVgmhui2cGul4Zg,Middle English,swap,0,,xJfragEhTJWBZywZODHESw,0.0
DPs14okOWla1zPrqpk9Etw,English,adjective,inherited_from,eYvsf3LAURWQpd7o4TiJ4g,Middle English,adjectif,0,,CqK2JAdTTaerH43wUeXjJw,0.0
tkHX9VCtV5WTgbAb0qajPQ,English,verb,inherited_from,5S4h92HuV9it3XVM3xX_9A,Middle English,verbe,0,,m3mkXotXT0OxLyO8OjcB-A,1.0
Dz7gKbcWU_yavoITDrAfGQ,English,patronage,inherited_from,zBv6ozOtUeev_CrTHSAuug,Middle English,patronage,0,,So-Fn8mERZmA-yl0zfVT9g,0.0
N11Pf2dWVo-RvWMCvnhxDg,English,substantive,inherited_from,It5UaCShUGSw0c9tH9qBmg,Middle English,substantif,0,,o7xVgfyoT7qWyzWMkrp-lA,0.0
YHsr2l6IV6OsXYsoU_UQgA,English,hour,inherited_from,kZBv84klVC-ERCxkawx8oQ,Middle English,houre,0,,UO6bLYhLSCu9vfRlbPjznQ,0.0
gLR_EU_bXsaG_etUGYGBqw,English,minute,inherited_from,CILAIIeOVJWMvsU7lcz61Q,Middle English,mynute,0,,Xf3JcufXQVCtpaWrHvubIg,0.0
w73V5LAQVZeHsAhzAVWNGg,English,trade,inherited_from,Wge_l9_XVjCqvkvoF6FTUA,Middle English,trade,0,,,
VtFl1FYsWY235dp1M-cEig,English,craft,inherited_from,bVcbrj-nXPOhxIcQQ4MlTw,Middle English,craft,0,,A014RuKgSASeeicrHF6l-A,1.0
VtFl1FYsWY235dp1M-cEig,English,craft,inherited_from,jxenHC0gUsuHBOjWXBrpMw,Old English,cræft,0,,A014RuKgSASeeicrHF6l-A,2.0
VtFl1FYsWY235dp1M-cEig,English,craft,inherited_from,02Gym5jjU7aJMsDErvRMgQ,Proto-West Germanic,*kraftu,0,,A014RuKgSASeeicrHF6l-A,3.0
VtFl1FYsWY235dp1M-cEig,English,craft,inherited_from,Dno9o_rpVNCe1NdU6Cgghw,Proto-Germanic,*kraftuz,0,,A014RuKgSASeeicrHF6l-A,4.0
SvubwKVkVsq3WqnqH5xmgg,English,merchandise,inherited_from,deyL_D7FV9Cr3KVCqTYoIA,Middle English,marchaundise,0,,,
SvubwKVkVsq3WqnqH5xmgg,English,merchandise,inherited_from,emFxfgzVXv-qZKa5JduZgQ,Middle English,marchaundisen,0,,,
_zx48kOfVlKmSftBPRZYQg,English,product,inherited_from,HBEOOkmWXiaYy1WlWAElaQ,Middle English,product,0,,S5Z0oaT9QTuskLeU8NLvhw,1.0
1Hqw5aBSUpSadEdMt8Blvg,English,eagle,inherited_from,Te_3BDMjXBaijPpHGUwNMQ,Middle English,egle,0,,dT2K2iewS9agRyuIMwryiQ,0.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,DGDKglU7UZu0kSmZz5tcpw,Middle English,del,0,,etfOsfyBSmKosK7BZya1uw,0.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,TTzGVXbHVcSs3OOGRwJutQ,Old English,dǣl,0,,fuZPTG1KRTGMja-TQG27qA,0.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,UNuM1rDzU1Sdaf80Psh0kw,Proto-West Germanic,*daili,0,,fuZPTG1KRTGMja-TQG27qA,1.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,JVgpb-r2UyOsK-N2_rnQLw,Proto-Germanic,*dailiz,0,,fuZPTG1KRTGMja-TQG27qA,2.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,BvlXblbuVKmnaP4RVq0OQQ,Proto-Indo-European,*dʰail-,0,,fuZPTG1KRTGMja-TQG27qA,3.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,f_wDi_PMVqGZLYBSXe1wlQ,Middle English,delen,0,,HCub304hRsCsiL5NVAblew,0.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,aYtWjUm2U3y08UW8MVsTtw,Old English,dǣlan,0,,HCub304hRsCsiL5NVAblew,1.0
LU7xd3XQU_m0B2H8bWjjYw,English,deal,inherited_from,Dky2H93FVvGUIqxq8J0QLw,Proto-West Germanic,*dailijan,0,,HCub304hRsCsiL5NVAblew,2.0
